Source,Destination IP,Packet Length
Motog Phone,172.217.9.200,9313
Desktop (server),23.4.210.58,2111
Echo plus 2nd gen,52.216.10.123,1079
Echo plus 2nd gen,52.216.147.124,1079
Echo plus 2nd gen,52.216.99.51,1079
Echo plus 2nd gen,52.216.114.203,1079
Echo plus 2nd gen,52.217.32.20,1079
Motog Phone,35.153.174.210,5436
Echo plus 2nd gen,52.217.9.172,1079
Desktop (server),54.192.30.126,20062
Echo plus 2nd gen,52.216.114.243,1079
Echo plus 2nd gen,52.216.165.59,1079
Echo plus 2nd gen,52.216.100.67,1079
Echo plus 2nd gen,52.216.179.99,1079
Desktop (server),34.214.148.108,6339
Echo plus 2nd gen,52.216.10.139,1079
Echo plus 2nd gen,52.216.95.99,1079
Echo plus 2nd gen,52.216.107.52,1079
Echo plus 2nd gen,52.217.12.204,1079
Desktop (server),104.124.101.72,8243
Motog Phone,184.169.219.147,5602
Echo plus 2nd gen,52.216.161.203,1079
Echo plus 2nd gen,52.216.94.139,1079
Echo Look,52.46.133.122,14529
Echo plus 2nd gen,52.217.46.60,1145
Echo plus 2nd gen,52.216.164.43,1079
Echo plus 2nd gen,52.216.24.68,1079
Echo plus 2nd gen,52.216.110.171,1079
Echo plus 2nd gen,52.216.12.44,1079
Echo plus 2nd gen,52.216.251.4,1079
Motog Phone,3.91.171.130,93364
Echo plus 2nd gen,52.217.40.44,1079
Echo plus 2nd gen,52.216.17.104,1079
Motog Phone,99.84.182.149,18112
Echo plus 2nd gen,52.216.138.4,1079
Echo plus 2nd gen,52.216.130.75,1079
Echo plus 2nd gen,52.216.104.3,1079
Echo plus 2nd gen,52.216.8.155,1079
Desktop (server),52.26.57.93,2871
Desktop (server),54.191.162.246,37968
Echo plus 2nd gen,52.216.229.123,1145
Echo plus 2nd gen,52.216.177.83,1079
Echo plus 2nd gen,52.216.224.240,1079
Echo plus 2nd gen,52.216.109.187,1079
Echo plus 2nd gen,52.216.134.251,1079
Echo plus 2nd gen,52.216.145.235,1079
Echo plus 2nd gen,52.216.107.140,1079
Echo plus 2nd gen,52.216.242.196,1079
Echo plus 2nd gen,52.216.129.139,1145
Echo plus 2nd gen,52.217.38.44,1079
Echo plus 2nd gen,52.216.22.43,1079
Ring Door bell,34.225.154.159,8845
Google onHub,34.225.154.159,5417
Ring Door bell,162.159.200.123,90
Google onHub,162.159.200.123,90
Echo plus 2nd gen,52.217.39.188,1079
Echo Look,13.249.43.67,578
Echo Look,72.21.207.82,28940
Motog Phone,172.253.63.153,17082
Echo plus 2nd gen,52.217.0.204,1079
Echo plus 2nd gen,52.216.109.219,1079
Echo plus 2nd gen,52.217.41.252,1079
Echo plus 2nd gen,54.231.41.27,1079
Motog Phone,18.213.19.90,12788
Echo plus 2nd gen,52.216.142.244,1079
Echo plus 2nd gen,52.217.14.148,1079
Echo plus 2nd gen,52.216.204.187,1079
Motog Phone,172.217.164.136,5545
Motog Phone,52.20.168.80,2944
Echo plus 2nd gen,52.216.107.20,1079
Ring Door bell,34.193.65.221,1550
Echo plus 2nd gen,52.216.249.132,1079
Echo plus 2nd gen,52.216.85.131,1079
Echo plus 2nd gen,52.217.15.172,1079
Echo plus 2nd gen,52.216.129.99,1079
Echo Look,66.85.78.80,90
Echo plus 2nd gen,52.216.104.235,1079
Echo plus 2nd gen,52.216.110.147,1079
Echo plus 2nd gen,52.216.164.219,1133
Echo plus 2nd gen,52.216.25.62,1079
Echo plus 2nd gen,52.216.80.216,1079
Desktop (server),34.208.208.167,12546
Desktop (server),13.249.43.93,5016
Echo plus 2nd gen,52.216.101.43,1145
Echo plus 2nd gen,52.217.45.68,1079
Echo plus 2nd gen,52.217.39.180,1079
Motog Phone,52.46.133.171,18376
Motog Phone,13.225.217.34,4774
Motog Phone,13.225.228.225,6586
Echo plus 2nd gen,52.216.226.0,1079
Echo plus 2nd gen,52.216.89.100,1079
Echo plus 2nd gen,13.225.225.202,5516
Echo plus 2nd gen,52.216.206.107,1079
Echo plus 2nd gen,52.216.205.219,1079
Desktop (server),23.32.74.22,6008
Echo plus 2nd gen,52.216.133.155,1079
Echo plus 2nd gen,54.230.139.159,9854
Echo plus 2nd gen,52.217.8.68,1145
Echo plus 2nd gen,52.216.128.27,1079
Echo plus 2nd gen,52.216.111.51,2133
Echo plus 2nd gen,52.216.77.4,1079
Echo plus 2nd gen,54.230.31.35,3048
Echo plus 2nd gen,52.216.85.83,1079
Echo plus 2nd gen,52.216.140.100,1079
Echo plus 2nd gen,99.84.218.40,7710
Echo plus 2nd gen,52.216.140.180,1079
Motog Phone,3.208.114.54,8998
Motog Phone,99.86.230.28,22496
Motog Phone,99.84.219.174,70116
Echo plus 2nd gen,52.216.82.232,1079
Echo plus 2nd gen,52.217.38.12,1079
Echo plus 2nd gen,99.86.229.96,6096
Echo plus 2nd gen,52.217.11.4,1079
Echo plus 2nd gen,52.216.18.248,1079
Echo plus 2nd gen,52.216.129.179,1079
Motog Phone,3.91.171.248,170387
LG smart TV,54.226.130.41,272
Echo plus 2nd gen,52.216.16.248,1079
LG smart TV,172.217.13.238,414229
LG smart TV,172.217.13.86,194368
Echo Look,34.200.248.47,26894
Echo Look,34.228.65.94,2338
Echo Look,52.94.226.38,11300
Echo Look,52.216.107.236,4855983
Echo Look,54.167.103.35,6202
Echo Look,107.23.141.82,1380
Echo Look,34.207.236.196,27946
Echo Look,3.231.4.45,138
Desktop (server),34.208.193.209,4367
Desktop (server),99.84.110.63,7659
Motog Phone,99.84.110.27,5031
Motog Phone,3.224.158.140,2936
Motog Phone,99.84.218.164,4400
Motog Phone,3.227.250.164,93426
Motog Phone,99.84.216.32,27036
Desktop (server),104.112.10.112,3328
Ring Door bell,3.94.223.53,8845
Google onHub,3.94.223.53,5417
Ring Door bell,45.76.244.202,90
Google onHub,45.76.244.202,90
Motog Phone,99.84.109.219,3979
Motog Phone,99.84.109.165,75062
Desktop (server),172.217.15.106,11077
Desktop (server),23.206.167.134,2593
Desktop (server),99.84.216.58,2429
Desktop (server),99.84.110.85,3211
Motog Phone,99.84.105.76,8968
Motog Phone,3.91.171.253,88525
Motog Phone,99.86.225.242,43507
Desktop (server),96.6.24.119,3262
Motog Phone,3.91.171.244,20492
Desktop (server),13.249.43.99,1271
Desktop (server),99.84.181.36,1276
Desktop (server),99.84.181.111,604
Desktop (server),34.216.241.179,37323
Desktop (server),52.11.25.131,12612
Desktop (server),54.192.30.125,20214
Echo Look,176.32.101.122,38696
Desktop (server),23.204.255.175,17387
Motog Phone,52.201.40.163,5850
Desktop (server),99.84.181.82,20436
Motog Phone,54.164.166.216,9622
Motog Phone,3.91.171.215,73174
Desktop (server),52.35.84.106,11811
Desktop (server),13.249.43.52,15036
Echo Look,54.192.30.121,1244
Desktop (server),104.96.226.195,50329
Ring Door bell,52.73.131.150,24283
Google onHub,52.73.131.150,16075
Ring Door bell,198.255.68.106,90
Google onHub,198.255.68.106,90
Motog Phone,173.194.204.113,5310
Desktop (server),54.69.196.86,12546
Motog Phone,99.84.185.41,13140
Motog Phone,13.249.43.128,1843
Motog Phone,3.91.171.156,255806
Desktop (server),52.41.39.5,6339
Desktop (server),52.36.175.254,10132
Desktop (server),13.249.43.85,9434
Google onHub,172.217.8.4,4374
Motog Phone,3.91.171.245,31497
Ring Door bell,54.165.201.196,51428
Google onHub,54.165.201.196,11673
Desktop (server),23.46.53.231,2594
Desktop (server),52.35.244.72,6273
Desktop (server),23.219.223.180,2662
Motog Phone,172.217.7.136,2012
Echo Look,3.216.78.163,9236
Echo Look,35.172.250.252,68882
Echo Look,52.217.9.156,4913899
LG smart TV,54.85.185.88,141794
LG smart TV,216.228.192.51,270
LG smart TV,52.119.196.25,23596
LG smart TV,52.46.158.171,181721
LG smart TV,52.119.168.148,51886
LG smart TV,54.239.27.116,10302
LG smart TV,13.249.40.215,296
LG smart TV,3.209.67.123,155110
LG smart TV,52.216.131.3,148
LG smart TV,99.84.185.54,148
LG smart TV,52.94.236.223,2898
LG smart TV,99.84.185.37,148
LG smart TV,54.192.30.113,940
LG smart TV,13.249.40.198,296
LG smart TV,99.84.185.17,148
LG smart TV,99.84.185.201,148
LG smart TV,52.94.231.48,260364
LG smart TV,34.197.181.220,168714
LG smart TV,52.94.228.85,69978
LG smart TV,13.249.40.21,296
LG smart TV,54.192.30.64,296
LG smart TV,52.46.133.39,11406758
LG smart TV,34.231.108.120,145562
LG smart TV,13.249.40.34,3422
LG smart TV,52.46.144.134,31710
Google onHub,52.46.133.39,11249398
LG smart TV,3.215.127.169,154600
Google onHub,3.215.127.169,49000
LG smart TV,3.214.58.173,90
Google onHub,3.214.58.173,90
Google onHub,13.249.40.34,3200
Google onHub,52.46.144.134,31992
LG smart TV,52.94.243.7,85205
Google onHub,52.94.243.7,86201
LG smart TV,54.192.30.79,644
Google onHub,54.192.30.79,644
LG smart TV,99.84.216.32,655
Google onHub,99.84.216.32,655
Google onHub,52.94.236.223,2570
Google onHub,52.119.168.148,51922
LG smart TV,52.46.158.181,508590
Google onHub,52.46.158.181,507126
LG smart TV,3.212.2.224,212198
Google onHub,3.212.2.224,212008
LG smart TV,13.249.43.169,184151
Google onHub,13.249.43.169,184151
LG smart TV,52.46.159.73,5850061
Google onHub,52.46.159.73,5773921
LG smart TV,54.186.40.66,8134
LG smart TV,184.25.98.209,606
LG smart TV,34.202.105.108,3828
LG smart TV,3.94.117.93,272
LG smart TV,172.217.164.130,137464
LG smart TV,52.216.164.155,3358
Google onHub,52.216.164.155,1126
Google onHub,3.209.67.123,49066
Ring Door bell,3.233.93.70,1191942
Google onHub,3.233.93.70,1191996
LG smart TV,52.216.95.147,1679
Google onHub,52.216.95.147,563
LG smart TV,52.5.115.78,156702
Google onHub,52.5.115.78,47142
LG smart TV,52.216.26.188,5037
Google onHub,52.216.26.188,1689
LG smart TV,52.119.162.179,68457
Google onHub,52.119.162.179,69437
LG smart TV,52.216.99.75,1679
Google onHub,52.216.99.75,563
Google onHub,34.197.181.220,53578
Motog Phone,52.46.135.190,29065
LG smart TV,52.217.15.36,1679
Google onHub,52.217.15.36,563
LG smart TV,52.216.248.12,1679
Google onHub,52.216.248.12,563
LG smart TV,54.209.86.184,112218
Google onHub,54.209.86.184,35074
LG smart TV,144.172.126.201,90
Google onHub,144.172.126.201,90
LG smart TV,52.216.101.115,1679
Google onHub,52.216.101.115,563
Google onHub,34.231.108.120,43626
LG smart TV,99.84.189.100,173705
Google onHub,99.84.189.100,173705
LG smart TV,52.216.160.171,3358
Google onHub,52.216.160.171,1126
LG smart TV,3.222.151.239,133358
Google onHub,3.222.151.239,40958
LG smart TV,52.216.229.8,1679
Google onHub,52.216.229.8,563
LG smart TV,52.216.99.131,1679
Google onHub,52.216.99.131,563
LG smart TV,52.46.156.47,205048
Google onHub,52.46.156.47,204544
LG smart TV,52.217.36.164,3424
Google onHub,52.217.36.164,1192
LG smart TV,52.71.3.127,151182
Google onHub,52.71.3.127,45582
LG smart TV,52.94.224.113,30029
Google onHub,52.94.224.113,30509
LG smart TV,52.216.86.139,1679
Google onHub,52.216.86.139,563
LG smart TV,52.203.35.44,135714
Google onHub,52.203.35.44,40674
LG smart TV,52.46.132.96,247856
Google onHub,52.46.132.96,247544
LG smart TV,52.216.248.92,1679
Google onHub,52.216.248.92,563
LG smart TV,52.94.228.225,5859282
Google onHub,52.94.228.225,5782386
LG smart TV,52.216.115.3,1679
Google onHub,52.216.115.3,563
LG smart TV,72.21.195.82,20144
Google onHub,72.21.195.82,20112
LG smart TV,52.119.196.28,5000
Google onHub,52.119.196.28,5090
LG smart TV,52.216.238.211,1679
Google onHub,52.216.238.211,563
LG smart TV,34.231.99.50,173196
Google onHub,34.231.99.50,52284
LG smart TV,52.216.95.91,1679
Google onHub,52.216.95.91,563
LG smart TV,54.145.141.161,141930
Google onHub,54.145.141.161,42930
Motog Phone,3.91.171.149,41536
Motog Phone,173.194.184.200,604968
LG smart TV,52.216.147.172,1679
Google onHub,52.216.147.172,563
Desktop (server),100.21.160.37,6339
LG smart TV,52.216.142.204,1679
Google onHub,52.216.142.204,563
LG smart TV,3.215.67.150,124258
Google onHub,3.215.67.150,39778
LG smart TV,52.216.112.227,3358
Google onHub,52.216.112.227,1126
LG smart TV,99.86.229.96,645436
Google onHub,99.86.229.96,645436
LG smart TV,52.216.66.24,3358
Google onHub,52.216.66.24,1126
LG smart TV,52.1.44.7,128310
Google onHub,52.1.44.7,38550
LG smart TV,52.216.206.243,3358
Google onHub,52.216.206.243,1126
LG smart TV,34.226.97.120,145246
Google onHub,34.226.97.120,45662
LG smart TV,52.216.132.131,3424
Google onHub,52.216.132.131,1192
LG smart TV,52.94.242.249,385821
Google onHub,52.94.242.249,385395
Desktop (server),96.7.65.132,2629
LG smart TV,52.216.109.99,1679
Google onHub,52.216.109.99,563
LG smart TV,54.239.29.142,34921
Google onHub,54.239.29.142,35467
LG smart TV,99.84.104.137,608502
Google onHub,99.84.104.137,608502
LG smart TV,52.216.107.132,1679
Google onHub,52.216.107.132,563
LG smart TV,54.239.19.125,222331
Google onHub,54.239.19.125,221895
LG smart TV,52.216.147.108,1679
Google onHub,52.216.147.108,563
LG smart TV,52.216.176.3,1679
Google onHub,52.216.176.3,563
LG smart TV,52.94.229.215,243599
Google onHub,52.94.229.215,242949
LG smart TV,52.216.140.252,1679
Google onHub,52.216.140.252,563
LG smart TV,34.196.128.149,138808
Google onHub,34.196.128.149,42844
LG smart TV,52.216.226.184,1679
Google onHub,52.216.226.184,563
LG smart TV,35.172.176.176,49116
Google onHub,35.172.176.176,14796
LG smart TV,52.216.251.20,1679
Google onHub,52.216.251.20,563
LG smart TV,52.46.159.66,196983
Google onHub,52.46.159.66,196419
LG smart TV,52.217.43.12,1679
Google onHub,52.217.43.12,563
LG smart TV,54.173.189.18,24236
Google onHub,54.173.189.18,7472
LG smart TV,52.216.104.51,3358
Google onHub,52.216.104.51,1126
LG smart TV,52.216.77.92,1679
Google onHub,52.216.77.92,563
LG smart TV,99.84.218.40,606579
Google onHub,99.84.218.40,606385
LG smart TV,52.216.10.171,1679
Google onHub,52.216.10.171,563
LG smart TV,52.216.140.76,1679
Google onHub,52.216.140.76,563
LG smart TV,52.20.181.239,151236
Google onHub,52.20.181.239,48276
LG smart TV,52.217.43.108,3358
Google onHub,52.217.43.108,1126
LG smart TV,52.94.229.122,218020
Google onHub,52.94.229.122,217960
Google onHub,52.119.196.25,22846
LG smart TV,52.216.104.147,3358
Google onHub,52.216.104.147,1126
Echo Look,52.216.251.4,485
Echo Look,34.236.6.206,270
LG smart TV,54.231.40.195,1679
Google onHub,54.231.40.195,563
LG smart TV,52.216.166.75,3424
Google onHub,52.216.166.75,1192
LG smart TV,18.215.1.131,32094
Google onHub,18.215.1.131,9654
LG smart TV,52.216.242.28,1679
Google onHub,52.216.242.28,563
LG smart TV,3.224.82.88,29766
Google onHub,3.224.82.88,11286
LG smart TV,52.94.243.173,5892874
Google onHub,52.94.243.173,5813937
Motog Phone,52.94.229.190,30252
LG smart TV,52.217.4.12,1745
Google onHub,52.217.4.12,629
LG smart TV,52.216.201.11,1679
Google onHub,52.216.201.11,563
Desktop (server),34.210.13.96,12546
LG smart TV,52.46.144.154,65842
Google onHub,52.46.144.154,66592
LG smart TV,52.216.184.243,1679
Google onHub,52.216.184.243,563
LG smart TV,52.216.129.59,1679
Google onHub,52.216.129.59,563
LG smart TV,52.216.171.139,1679
Google onHub,52.216.171.139,563
LG smart TV,52.216.10.155,1679
Google onHub,52.216.10.155,563
LG smart TV,54.86.203.206,26508
Google onHub,54.86.203.206,8028
LG smart TV,52.216.115.59,1679
Google onHub,52.216.115.59,563
LG smart TV,52.217.41.188,3358
Google onHub,52.217.41.188,1126
LG smart TV,52.46.145.58,7134782
Google onHub,52.46.145.58,7036046
LG smart TV,54.239.26.244,33598
Google onHub,54.239.26.244,34138
LG smart TV,52.85.149.25,169871
Google onHub,52.85.149.25,169877
LG smart TV,52.216.8.3,3358
Google onHub,52.216.8.3,1126
Google onHub,54.85.185.88,42498
LG smart TV,54.239.25.214,5877098
Google onHub,54.239.25.214,5798786
LG smart TV,52.216.141.76,1679
Google onHub,52.216.141.76,563
Echo Look,99.84.181.23,1800
Echo Look,54.192.30.88,1244
LG smart TV,52.216.138.171,3424
Google onHub,52.216.138.171,1192
Desktop (server),99.84.181.27,7005
Desktop (server),54.192.30.55,3081
Desktop (server),23.66.61.84,2309
LG smart TV,52.216.184.75,1679
Google onHub,52.216.184.75,563
LG smart TV,52.20.53.167,34410
Google onHub,52.20.53.167,10650
LG smart TV,52.46.128.105,5892832
Google onHub,52.46.128.105,5812023
LG smart TV,52.216.232.227,3358
Google onHub,52.216.232.227,1126
Motog Phone,3.227.250.225,126126
LG smart TV,52.216.162.179,1679
Google onHub,52.216.162.179,563
LG smart TV,205.251.243.55,106335
Google onHub,205.251.243.55,107409
LG smart TV,52.216.251.52,1679
Google onHub,52.216.251.52,563
LG smart TV,52.217.36.244,3358
Google onHub,52.217.36.244,1126
LG smart TV,52.216.77.180,3358
Google onHub,52.216.77.180,1126
LG smart TV,52.94.229.76,218580
Google onHub,52.94.229.76,218148
LG smart TV,54.231.50.42,1679
Google onHub,54.231.50.42,563
LG smart TV,52.217.32.28,1679
Google onHub,52.217.32.28,563
LG smart TV,52.216.177.67,5037
Google onHub,52.216.177.67,1689
LG smart TV,52.46.158.193,33598
Google onHub,52.46.158.193,34138
Desktop (server),54.192.30.54,13438
LG smart TV,52.216.16.152,1679
Google onHub,52.216.16.152,563
LG smart TV,52.46.145.172,217033
Google onHub,52.46.145.172,216547
Motog Phone,34.199.27.212,2936
Motog Phone,172.217.15.99,4361
Motog Phone,54.192.29.216,14273
LG smart TV,52.216.207.83,1679
Google onHub,52.216.207.83,563
LG smart TV,52.217.11.84,3358
Google onHub,52.217.11.84,1126
LG smart TV,54.239.18.66,573187
Google onHub,54.239.18.66,573185
LG smart TV,52.216.170.235,1679
Google onHub,52.216.170.235,563
LG smart TV,52.217.42.244,1745
Google onHub,52.217.42.244,629
Motog Phone,13.249.40.121,1357
LG smart TV,52.216.141.68,3358
Google onHub,52.216.141.68,1126
Ring Door bell,3.221.74.30,10687
Google onHub,3.221.74.30,5727
LG smart TV,52.119.196.66,113116
Google onHub,52.119.196.66,114184
LG smart TV,52.217.45.20,5037
Google onHub,52.217.45.20,1689
LG smart TV,52.217.13.116,5037
Google onHub,52.217.13.116,1689
Echo Look,184.105.182.7,90
LG smart TV,52.216.233.195,1679
Google onHub,52.216.233.195,563
LG smart TV,52.94.233.253,2063208
Google onHub,52.94.233.253,2037858
LG smart TV,52.216.140.220,1679
Google onHub,52.216.140.220,563
LG smart TV,52.216.200.59,1679
Google onHub,52.216.200.59,563
LG smart TV,52.216.137.60,1679
Google onHub,52.216.137.60,563
LG smart TV,52.216.79.20,3358
Google onHub,52.216.79.20,1126
LG smart TV,52.216.248.140,1679
Google onHub,52.216.248.140,563
LG smart TV,52.216.101.91,3358
Google onHub,52.216.101.91,1126
LG smart TV,52.216.236.251,1679
Google onHub,52.216.236.251,563
LG smart TV,52.216.85.219,1679
Google onHub,52.216.85.219,563
LG smart TV,52.216.240.20,1679
Google onHub,52.216.240.20,563
LG smart TV,52.216.101.35,3358
Google onHub,52.216.101.35,1126
LG smart TV,52.216.186.19,5037
Google onHub,52.216.186.19,1689
LG smart TV,52.216.248.196,1679
Google onHub,52.216.248.196,563
LG smart TV,52.216.24.12,1745
Google onHub,52.216.24.12,629
LG smart TV,52.217.40.44,1679
Google onHub,52.217.40.44,563
LG smart TV,52.216.25.44,1679
Google onHub,52.216.25.44,563
LG smart TV,52.94.241.146,20212
Google onHub,52.94.241.146,20536
Desktop (server),99.84.181.59,10362
LG smart TV,52.216.16.104,1679
Google onHub,52.216.16.104,563
LG smart TV,52.46.129.41,9710933
Google onHub,52.46.129.41,9577509
LG smart TV,52.216.204.131,1679
Google onHub,52.216.204.131,563
LG smart TV,52.216.94.123,1679
Google onHub,52.216.94.123,563
LG smart TV,52.216.105.147,1679
Google onHub,52.216.105.147,563
Motog Phone,3.91.171.242,40541
LG smart TV,52.216.177.27,3358
Google onHub,52.216.177.27,1126
LG smart TV,52.216.178.27,3358
Google onHub,52.216.178.27,1126
LG smart TV,34.193.186.95,128310
Google onHub,34.193.186.95,38550
LG smart TV,52.216.130.67,3358
Google onHub,52.216.130.67,1126
Desktop (server),52.89.245.210,6273
LG smart TV,52.216.242.228,1679
Google onHub,52.216.242.228,563
Google onHub,8.8.4.4,333
LG smart TV,52.94.227.120,189469
Google onHub,52.94.227.120,188743
LG smart TV,52.216.145.83,1745
Google onHub,52.216.145.83,629
LG smart TV,52.94.235.50,736445
Google onHub,52.94.235.50,736493
Desktop (server),23.52.93.112,24961
LG smart TV,52.216.137.100,1679
Google onHub,52.216.137.100,563
LG smart TV,52.216.147.59,1679
Google onHub,52.216.147.59,563
LG smart TV,52.216.206.19,1679
Google onHub,52.216.206.19,563
LG smart TV,52.119.196.31,37281
Google onHub,52.119.196.31,37869
LG smart TV,52.217.46.220,1679
Google onHub,52.217.46.220,563
LG smart TV,52.216.130.147,1745
Google onHub,52.216.130.147,629
LG smart TV,52.216.147.75,1679
Google onHub,52.216.147.75,563
Google onHub,52.94.231.48,259082
LG smart TV,54.231.82.114,1679
Google onHub,54.231.82.114,563
Desktop (server),23.210.41.126,2594
LG smart TV,52.216.92.155,1679
Google onHub,52.216.92.155,563
Motog Phone,3.224.242.122,8902
LG smart TV,52.216.179.195,3358
Google onHub,52.216.179.195,1126
LG smart TV,54.239.18.122,341172
Google onHub,54.239.18.122,338886
LG smart TV,52.119.197.108,184705
Google onHub,52.119.197.108,186577
LG smart TV,54.231.40.59,1679
Google onHub,54.231.40.59,563
LG smart TV,52.216.105.243,3358
Google onHub,52.216.105.243,1126
LG smart TV,52.216.93.67,1679
Google onHub,52.216.93.67,563
LG smart TV,52.216.160.195,1679
Google onHub,52.216.160.195,563
LG smart TV,52.94.243.11,894788
Google onHub,52.94.243.11,893862
Motog Phone,52.85.145.161,6570
LG smart TV,52.216.113.211,1679
Google onHub,52.216.113.211,563
LG smart TV,52.217.46.108,1679
Google onHub,52.217.46.108,563
LG smart TV,52.94.240.240,29114
Google onHub,52.94.240.240,29582
Desktop (server),54.192.30.110,17369
LG smart TV,52.216.160.11,3358
Google onHub,52.216.160.11,1126
LG smart TV,52.216.230.67,1679
Google onHub,52.216.230.67,563
LG smart TV,52.216.146.139,1679
Google onHub,52.216.146.139,563
LG smart TV,52.217.38.220,3358
Google onHub,52.217.38.220,1126
LG smart TV,52.216.237.179,1679
Google onHub,52.216.237.179,563
LG smart TV,52.94.228.52,5849938
Google onHub,52.94.228.52,5772226
LG smart TV,52.216.140.60,1745
Google onHub,52.216.140.60,629
LG smart TV,52.216.18.72,3358
Google onHub,52.216.18.72,1126
Desktop (server),54.149.205.191,6273
Desktop (server),54.192.30.92,14881
LG smart TV,52.216.21.235,1679
Google onHub,52.216.21.235,563
LG smart TV,52.216.249.244,1679
Google onHub,52.216.249.244,563
LG smart TV,52.216.94.155,1679
Google onHub,52.216.94.155,563
LG smart TV,52.216.200.195,1679
Google onHub,52.216.200.195,563
LG smart TV,52.216.105.219,3358
Google onHub,52.216.105.219,1126
LG smart TV,52.119.196.87,37674
Google onHub,52.119.196.87,38016
LG smart TV,52.216.114.131,1679
Google onHub,52.216.114.131,563
LG smart TV,52.216.110.195,1679
Google onHub,52.216.110.195,563
LG smart TV,52.216.136.83,3866
Google onHub,52.216.136.83,2834
Desktop (server),99.84.181.16,12366
LG smart TV,52.217.32.108,3358
Google onHub,52.217.32.108,1126
LG smart TV,54.239.26.210,5838130
Google onHub,54.239.26.210,5760142
LG smart TV,52.216.88.139,1679
Google onHub,52.216.88.139,563
LG smart TV,52.216.101.27,3358
Google onHub,52.216.101.27,1126
LG smart TV,52.216.144.107,1679
Google onHub,52.216.144.107,563
LG smart TV,52.216.108.67,3358
Google onHub,52.216.108.67,1126
LG smart TV,52.216.133.243,1745
Google onHub,52.216.133.243,629
LG smart TV,52.216.9.227,1679
Google onHub,52.216.9.227,563
LG smart TV,52.216.106.196,3424
Google onHub,52.216.106.196,1192
LG smart TV,52.94.234.195,181502
Google onHub,52.94.234.195,180920
LG smart TV,52.216.86.195,3358
Google onHub,52.216.86.195,1126
Desktop (server),13.249.43.65,23569
LG smart TV,52.216.141.12,1679
Google onHub,52.216.141.12,563
Ring Door bell,3.214.128.164,9367
Google onHub,3.214.128.164,4353
LG smart TV,52.216.98.123,1679
Google onHub,52.216.98.123,563
LG smart TV,52.216.162.43,1679
Google onHub,52.216.162.43,563
LG smart TV,52.216.138.83,1679
Google onHub,52.216.138.83,563
LG smart TV,54.239.31.37,241844
Google onHub,54.239.31.37,241136
LG smart TV,52.216.239.107,1679
Google onHub,52.216.239.107,563
LG smart TV,52.216.160.235,1679
Google onHub,52.216.160.235,563
LG smart TV,72.21.207.190,132077
Google onHub,72.21.207.190,133415
LG smart TV,52.216.93.11,1679
Google onHub,52.216.93.11,563
LG smart TV,52.216.130.75,1745
Google onHub,52.216.130.75,629
LG smart TV,52.216.109.3,1679
Google onHub,52.216.109.3,563
LG smart TV,52.119.197.96,659922
Google onHub,52.119.197.96,659688
LG smart TV,52.216.166.35,1679
Google onHub,52.216.166.35,563
LG smart TV,52.46.141.108,17056163
Google onHub,52.46.141.108,16819592
LG smart TV,52.216.112.171,1679
Google onHub,52.216.112.171,563
LG smart TV,52.217.1.252,3358
Google onHub,52.217.1.252,1126
LG smart TV,99.84.110.58,644
Google onHub,99.84.110.58,644
LG smart TV,99.84.216.125,589
Google onHub,99.84.216.125,589
LG smart TV,52.217.12.196,1679
Google onHub,52.217.12.196,563
LG smart TV,72.21.207.87,214863
Google onHub,72.21.207.87,214095
LG smart TV,52.217.39.36,1679
Google onHub,52.217.39.36,563
LG smart TV,52.216.108.83,1679
Google onHub,52.216.108.83,563
LG smart TV,52.217.47.52,1745
Google onHub,52.217.47.52,629
LG smart TV,52.217.16.36,1679
Google onHub,52.217.16.36,563
LG smart TV,52.216.77.20,1679
Google onHub,52.216.77.20,563
Desktop (server),52.33.179.158,4367
LG smart TV,52.216.105.67,1679
Google onHub,52.216.105.67,563
LG smart TV,52.216.179.99,3358
Google onHub,52.216.179.99,1126
LG smart TV,52.216.179.83,1679
Google onHub,52.216.179.83,563
LG smart TV,52.216.80.176,1679
Google onHub,52.216.80.176,563
LG smart TV,52.216.140.164,1679
Google onHub,52.216.140.164,563
LG smart TV,52.217.10.4,1679
Google onHub,52.217.10.4,563
LG smart TV,176.32.101.52,122473
Google onHub,176.32.101.52,124045
LG smart TV,52.216.1.8,1679
Google onHub,52.216.1.8,563
LG smart TV,52.216.78.36,5037
Google onHub,52.216.78.36,1689
LG smart TV,52.217.12.132,1679
Google onHub,52.217.12.132,563
LG smart TV,52.216.240.140,1679
Google onHub,52.216.240.140,563
LG smart TV,52.216.114.219,1745
Google onHub,52.216.114.219,629
Motog Phone,3.91.171.252,44751
LG smart TV,52.216.171.171,3358
Google onHub,52.216.171.171,1126
LG smart TV,52.216.0.136,1679
Google onHub,52.216.0.136,563
LG smart TV,52.216.136.212,1679
Google onHub,52.216.136.212,563
LG smart TV,52.216.145.155,5037
Google onHub,52.216.145.155,1689
LG smart TV,52.94.232.206,264785
Google onHub,52.94.232.206,264083
LG smart TV,52.119.164.214,63491
Google onHub,52.119.164.214,65867
LG smart TV,52.94.237.71,16551
Google onHub,52.94.237.71,16911
LG smart TV,35.186.218.191,20580
Google onHub,35.186.218.191,20580
LG smart TV,52.216.27.100,1679
Google onHub,52.216.27.100,563
LG smart TV,52.216.145.123,3358
Google onHub,52.216.145.123,1126
Desktop (server),54.68.230.19,6273
